repo,metamodel,original
patins1/raas4emf,"['patins1$raas4emf$plugins#org.ifc4emf.metamodel.ifc#model#ifc2x3.ecore', 'patins1$raas4emf$plugins#org.ifc4emf.metamodel.ifc#src#IFC2X3#impl#IFC2X3.ecore', 'patins1$raas4emf$plugins#org.ifc4emf.metamodel.ifc#model#express2ecore.ecore']","['hal9000plus$bimserver$BimServer#models#models.ecore', 'hal9000plus$bimserver$BimServer#models#models.ecore', 'patins1$ifc4emf$plugins#org.ifc4emf.metamodel.ifc#model#express2ecore.ecore']"
ccogeanu/eclipse-ui,"['ccogeanu$eclipse-ui$bundles#org.eclipse.e4.ui.model.workbench#model#ModelFragment.ecore', 'ccogeanu$eclipse-ui$bundles#org.eclipse.e4.ui.model.workbench#model#UIElements.ecore', 'ccogeanu$eclipse-ui$tests#org.eclipse.e4.emf.xpath.test#model#XPathTest.ecore']","['qualidafial$eclipse.platform.ui$bundles#org.eclipse.e4.ui.model.workbench#model#ModelFragment.ecore', 'penghzhang$Jface$bundles#org.eclipse.e4.ui.model.workbench#model#UIElements.ecore', 'sitender2018$Datasets$tests#org.eclipse.e4.emf.xpath.test#model#XPathTest.ecore']"
Beautiful-young/webidl2ecore,['Beautiful-young$webidl2ecore$org.waml.w3c.webidl#src-gen#org#waml#w3c#webidl#WebIDL.ecore'],['mporzio$webidl2ecore$org.waml.w3c.webidl#src-gen#org#waml#w3c#webidl#WebIDL.ecore']
JanKoehnlein/Generic-Graph-View,"['JanKoehnlein$Generic-Graph-View$org.eclipse.xtext.graphview.style#model#GraphViewStyle.ecore', 'JanKoehnlein$Generic-Graph-View$org.eclipse.xtext.graphview.example#src#ecore#JavaVMTypes.ecore', 'JanKoehnlein$Generic-Graph-View$org.eclipse.xtext.graphview.example#src#ecore#Ecore.ecore', 'JanKoehnlein$Generic-Graph-View$org.eclipse.xtext.graphview.map#model#GraphViewMapping.ecore', 'JanKoehnlein$Generic-Graph-View$org.eclipse.xtext.graphview.example#src#ecore#Statemachine.ecore', 'JanKoehnlein$Generic-Graph-View$org.eclipse.xtext.graphview#model#InstanceModel.ecore']","['JanKoehnlein$Generic-Graph-View$org.eclipse.xtext.graphview.style#model#GraphViewStyle.ecore', 'JanKoehnlein$Generic-Graph-View$org.eclipse.xtext.graphview.example#src#ecore#JavaVMTypes.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'JanKoehnlein$Generic-Graph-View$org.eclipse.xtext.graphview.map#model#GraphViewMapping.ecore', 'LolloCorte$emf-components$examples#it.rcpvision.emf.components.examples.fowlerdsl#src-gen#it#rcpvision#emf#components#examples#fowlerdsl#Statemachine.ecore', 'JanKoehnlein$Generic-Graph-View$org.eclipse.xtext.graphview#model#InstanceModel.ecore']"
jboss-switchyard/tools,"['jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#src#org#switchyard#tools#models#switchyard1_0#spring#impl#spring.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.bean.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#policy.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.sca.core#model#namespace.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.remote.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.http.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#Copy of component.camel.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.resteasy.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.bpel.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.sca.sca1_1#model#sca.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#camel-spring.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.sca.sca1_1#src#org#eclipse#soa#sca#sca1_1#model#sca#impl#sca.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.sca.sca1_1#model#addressing.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.sca.core#model#addressing.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#config.switchyard.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#config.validate.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.jca.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.clojure.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.hornetq.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.sca.sca1_1#model#XMLNamespace.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.common.selector.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.soap.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.sca.core#model#policy.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.camel.ecore']","['jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#src#org#switchyard#tools#models#switchyard1_0#spring#impl#spring.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.bean.ecore', 'BackupTheBerlios$texosecurityidm-svn$trunk#TechnicalArtefacts#de.fraunhofer.fokus.texo.ws#model#wspolicy.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.sca.core#model#namespace.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.remote.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.http.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#Copy of component.camel.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.resteasy.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.bpel.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.sca.sca1_1#src#org#eclipse#soa#sca#sca1_1#model#sca#impl#sca.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#src#org#switchyard#tools#models#switchyard1_0#spring#impl#spring.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.sca.sca1_1#src#org#eclipse#soa#sca#sca1_1#model#sca#impl#sca.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.sca.core#model#addressing.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.sca.core#model#addressing.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#config.switchyard.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#config.validate.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.jca.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.clojure.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.hornetq.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#XMLNamespace.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.common.selector.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.soap.ecore', 'BackupTheBerlios$texosecurityidm-svn$trunk#TechnicalArtefacts#de.fraunhofer.fokus.texo.ws#model#wspolicy.ecore', 'jboss-switchyard$tools$eclipse#plugins#org.switchyard.tools.models.switchyard1_0#model#component.camel.ecore']"
xtext/seven-languages-xtext,"['xtext$seven-languages-xtext$languages#org.xtext.builddsl#model#generated#BuildDSL.ecore', 'xtext$seven-languages-xtext$languages#org.xtext.guicemodules#model#generated#GuiceModules.ecore', 'xtext$seven-languages-xtext$languages#org.xtext.tortoiseshell#model#generated#TortoiseShell.ecore', 'xtext$seven-languages-xtext$languages#org.xtext.httprouting#model#generated#Route.ecore', 'xtext$seven-languages-xtext$languages#org.xtext.template#model#generated#Template.ecore', 'xtext$seven-languages-xtext$languages#org.xtext.mongobeans#model#generated#MongoBeans.ecore']","['oehme$xtext-maven-example$language#0-initial#org.xtext.builddsl#model#generated#BuildDSL.ecore', 'xtext$seven-languages-xtext$languages#org.xtext.guicemodules#model#generated#GuiceModules.ecore', 'xtext$seven-languages-xtext$languages#org.xtext.tortoiseshell#model#generated#TortoiseShell.ecore', 'xtext$seven-languages-xtext$languages#org.xtext.httprouting#model#generated#Route.ecore', 'xtext$seven-languages-xtext$languages#org.xtext.template#model#generated#Template.ecore', 'xtext$seven-languages-xtext$languages#org.xtext.mongobeans#model#generated#MongoBeans.ecore']"
stajfr/DICE,"['stajfr$DICE$DiceModelingProject#model#DTSM-Oryx#OryxDTSM.ecore', 'stajfr$DICE$DiceModelingProject#model#DTSM-Posidonia#PosiDTSM.ecore', 'stajfr$DICE$org.polimi.mymodelingproject#model#mymodelingproject.ecore', 'stajfr$DICE$DiceModelingProject#model#DDSM-posidonia#Cloud.ecore', 'stajfr$DICE$org.polimi.mymodelingproject#model#TOSCA#XMLNamespace.ecore', 'stajfr$DICE$DiceModelingProject#model#TOSCA#XMLNamespace.ecore', 'stajfr$DICE$DiceModelingProject#model#DTSM-Core#CoreDTSM.ecore', 'stajfr$DICE$DiceModelingProject#model#DDSM-oryx#Cloud.ecore', 'stajfr$DICE$DiceModelingProject#model#DDSM#Cloud.ecore', 'stajfr$DICE$DiceModelingProject#model#DTSM-HMR#HMR_DTSM.ecore', 'stajfr$DICE$DiceModelingProject#model#TOSCA#_12.ecore', 'stajfr$DICE$org.polimi.mymodelingproject#model#TOSCA#_12.ecore']","['stajfr$DICE$DiceModelingProject#model#DTSM-Oryx#OryxDTSM.ecore', 'stajfr$DICE$DiceModelingProject#model#DTSM-Posidonia#PosiDTSM.ecore', 'stajfr$DICE$org.polimi.mymodelingproject#model#mymodelingproject.ecore', 'stajfr$DICE$DiceModelingProject#model#DDSM-posidonia#Cloud.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#XMLNamespace.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#XMLNamespace.ecore', 'stajfr$DICE$DiceModelingProject#model#DTSM-Core#CoreDTSM.ecore', 'stajfr$DICE$DiceModelingProject#model#DDSM-oryx#Cloud.ecore', 'stajfr$DICE$DiceModelingProject#model#DDSM#Cloud.ecore', 'stajfr$DICE$DiceModelingProject#model#DTSM-HMR#HMR_DTSM.ecore', 'CELAR$c-Eclipse$app-description#eu.celar.tosca#model#tosca.ecore', 'CELAR$c-Eclipse$app-description#eu.celar.tosca#model#tosca.ecore']"
osate/osate2-core,"['osate$osate2-core$org.osate.aadl2#model#aadl2.ecore', 'osate$osate2-core$org.osate.aadl2#model#instance.ecore']","['rsanjai$sr-o2core$org.osate.aadl2#src#org#osate#aadl2#impl#aadl2.ecore', 'rsanjai$sr-o2core$org.osate.aadl2#src#org#osate#aadl2#instance#impl#instance.ecore']"
jgralab/gremf,"['jgralab$gremf$models#bookStore.ecore', 'jgralab$gremf$models#university.ecore', 'jgralab$gremf$models#layout.ecore', 'jgralab$gremf$models#java.ecore']","['jgralab$gremf$models#bookStore.ecore', 'jgralab$gremf$models#university.ecore', 'DevBoost$EMFText$Core#Commons#org.emftext.commons.layout#metamodel#layout.ecore', 'smee$amor$Test#de.modelrepository.test#res#in#T0002#java.ecore']"
eclipse-emfcloud/emfcloud-modelserver,"['eclipse-emfcloud$emfcloud-modelserver$org.eclipse.emfcloud.modelserver.edit#src#main#resources#Command.ecore', 'eclipse-emfcloud$emfcloud-modelserver$org.eclipse.emfcloud.modelserver.emf#src#test#resources#Test1.ecore', 'eclipse-emfcloud$emfcloud-modelserver$org.eclipse.emfcloud.modelserver.edit#src#test#resources#Coffee.ecore', 'eclipse-emfcloud$emfcloud-modelserver$examples#org.eclipse.emfcloud.modelserver.example#src#main#resources#workspace#Coffee.ecore', 'eclipse-emfcloud$emfcloud-modelserver$org.eclipse.emfcloud.modelserver.emf#src#test#resources#Coffee.ecore', 'eclipse-emfcloud$emfcloud-modelserver$examples#org.eclipse.emfcloud.modelserver.coffee.model#src#main#resources#Coffee.ecore']","['eclipsesource$modelserver$com.eclipsesource.modelserver.edit#src#main#resources#Command.ecore', 'eclipsesource$modelserver$com.eclipsesource.modelserver.emf#src#test#resources#Test1.ecore', 'eclipsesource$modelserver$com.eclipsesource.modelserver.emf#src#test#resources#Coffee.ecore', 'eclipsesource$modelserver$examples#com.eclipsesource.modelserver.example#src#main#resources#workspace#Coffee.ecore', 'eclipsesource$modelserver$com.eclipsesource.modelserver.emf#src#test#resources#Coffee.ecore', 'eclipsesource$modelserver$examples#com.eclipsesource.modelserver.example#src#main#resources#workspace#Coffee.ecore']"
MicheleGuerriero/DICE-Models-Sosym,"['MicheleGuerriero$DICE-Models-Sosym$io.github.dice-project.tosca#model#tosca.ecore', 'MicheleGuerriero$DICE-Models-Sosym$io.github.dice-project.dtsm.oryx#model#dtsm.oryx.ecore']","['dice-project$DICE-Models$io.github.dice-project.tosca#model#tosca.ecore', 'stajfr$DICE$DiceModelingProject#model#DTSM-Oryx#OryxDTSM.ecore']"
PasternakMichal/SimGen,"['PasternakMichal$SimGen$SimGen DSL#cs.queensu.ca.Unity#UMLRT-Profiles#UMLRealTime.ecore', 'PasternakMichal$SimGen$SimGen DSL#cs.queensu.ca.Unity#UMLRT-Profiles#RTCppProperties.ecore', 'PasternakMichal$SimGen$SimGen DSL#cs.queensu.ca.Unity#UMLRT-Profiles#UMLRTStateMachines.ecore', 'PasternakMichal$SimGen$SimGen DSL#cs.queensu.ca.Unity#UMLRT-Profiles#Ecore.ecore']","['moji1$MDebugger$StateChartDebugInstrument#MetaModels#UMLRealTime.ecore', 'moji1$MDebugger$StateChartDebugInstrument#MetaModels#RTCppProperties.ecore', 'moji1$MDebugger$StateChartDebugInstrument#MetaModels#UMLRTStateMachines.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore']"
metamorph-inc/metamorphosys-desktop,['metamorph-inc$metamorphosys-desktop$metamorphosys#META#meta#DesignDataPackage#EMF_Metamodel#model#XMLType.ecore'],['olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#XMLType.ecore']
AnCaPepe/Scilab-Jupyter-Kernel,['AnCaPepe$Scilab-Jupyter-Kernel$scilab#modules#xcos#model#xcos.ecore'],['AnCaPepe$Scilab-OpenModelica-Integration$scilab#modules#xcos#model#xcos.ecore']
LightChaosman/GLT1,"['LightChaosman$GLT1$workspace#tue.glt.platoon2boundingbox#BoundingBox.ecore', 'LightChaosman$GLT1$workspace#tue.glt.boundingbox#model#BoundingBox.ecore']","['Zilarion$2IMP20-Generic-Language-Technology$Assignment 3#nl.tue.glt.boundingbox#model#BoundingBox.ecore', 'Zilarion$2IMP20-Generic-Language-Technology$Assignment 3#nl.tue.glt.boundingbox#model#BoundingBox.ecore']"
supersede-project/dyn_adapt,"['supersede-project$dyn_adapt$YAFMT#cz.zcu.yafmt.ui.editors.fm#model#LayoutData.ecore', 'supersede-project$dyn_adapt$YAFMT#cz.zcu.yafmt.model#model#FeatureConfiguration.ecore', 'supersede-project$dyn_adapt$YAFMT#cz.zcu.yafmt.clang.bcl#model#BooleanConstraintLanguage.ecore']","['anb0s$YAFMT$cz.zcu.yafmt.ui.editors.fm#model#LayoutData.ecore', 'anb0s$YAFMT$cz.zcu.yafmt.model#model#FeatureConfiguration.ecore', 'anb0s$YAFMT$cz.zcu.yafmt.clang.bcl#model#BooleanConstraintLanguage.ecore']"
go2zo/nuclear-bomb,"['go2zo$nuclear-bomb$org.eclipse.papyrus.common.editor.xtext#src#org#eclipse#papyrus#common#editor#xtext#UmlCommon.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.extendedtypes.emf#model#ModifySemanticValuesActionConfiguration.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.resource#model#resource.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.extendedtypes#model#ExtendedTypes.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.controlmode.history#model#history.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.property.editor.xtext#model#Ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.state.editor.xtext#src#org#eclipse#papyrus#state#editor#xtext#UmlState.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.sysml#model#sysml.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.transition.editor.xtext#src#org#eclipse#papyrus#transition#editor#xtext#UmlTransition.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.properties.notation#model#notation.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.properties.uml#Model#LanguagePreferences.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.state.editor.xtext#model#Ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.sysml#model#ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.collaborationuse.editor.xtext#src#org#eclipse#papyrus#collaborationuse#editor#xtext#UmlCollaborationUse.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.transition.editor.xtext#model#Ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.core.queries.configuration#model#Configuration.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.uml.standard#model#ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.uml.standard#model#Standard.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.properties#model#Preferences.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.connectionpointreference.editor.xtext#model#Ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.core.queries#resources#ToolConfiguration.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.sysml#model#Standard.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.message.editor.xtext#model#Ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.properties.model#Model#Properties.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.property.editor.xtext#src#org#eclipse#papyrus#property#editor#xtext#UmlProperty.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.message.editor.xtext#src#org#eclipse#papyrus#message#editor#xtext#UmlMessage.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.parameter.editor.xtext#src#org#eclipse#papyrus#parameter#editor#xtext#UmlParameter.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.table.instance#model#papyrustableinstance.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.extendedtypes.uml#model#ApplyStereotypeActionConfiguration.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.sasheditor.di#model#di.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.paletteconfiguration#model#PaletteConfiguration.ecore']","['go2zo$nuclear-bomb$org.eclipse.papyrus.common.editor.xtext#src#org#eclipse#papyrus#common#editor#xtext#UmlCommon.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.extendedtypes.emf#model#ModifySemanticValuesActionConfiguration.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.resource#model#resource.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.extendedtypes#model#ExtendedTypes.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.controlmode.history#model#history.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.state.editor.xtext#src#org#eclipse#papyrus#state#editor#xtext#UmlState.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.sysml#model#sysml.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.transition.editor.xtext#src#org#eclipse#papyrus#transition#editor#xtext#UmlTransition.ecore', 'schmeedy$gmf$org.eclipse.gmf.notation#plugins#org.eclipse.gmf.runtime.notation#model#notation.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.properties.uml#Model#LanguagePreferences.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.collaborationuse.editor.xtext#src#org#eclipse#papyrus#collaborationuse#editor#xtext#UmlCollaborationUse.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.core.queries.configuration#model#Configuration.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.sysml#model#Standard.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.properties#model#Preferences.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.core.queries#resources#ToolConfiguration.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.sysml#model#Standard.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.properties.model#Model#Properties.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.property.editor.xtext#src#org#eclipse#papyrus#property#editor#xtext#UmlProperty.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.message.editor.xtext#src#org#eclipse#papyrus#message#editor#xtext#UmlMessage.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.parameter.editor.xtext#src#org#eclipse#papyrus#parameter#editor#xtext#UmlParameter.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.table.instance#model#papyrustableinstance.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.extendedtypes.uml#model#ApplyStereotypeActionConfiguration.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.sasheditor.di#model#di.ecore', 'go2zo$nuclear-bomb$org.eclipse.papyrus.paletteconfiguration#model#PaletteConfiguration.ecore']"
crossecore/examples-java,"['crossecore$examples-java$viatra#model#java.ecore', 'crossecore$examples-java$mdt-ocl-interpreter#src#java_#impl#java_.ecore', 'crossecore$examples-java$mdt-ocl-interpreter#model#java.ecore', 'crossecore$examples-java$mogwai#src#java_#impl#java_.ecore', 'crossecore$examples-java$mdt-ocl-java#src#java_#impl#java_.ecore', 'crossecore$examples-java$mdt-ocl-java#model#java.ecore']","['lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore']"
